Wavelength,Flux,BestFit,SkyFlux
4594.095,18.652,16.837,5.226
4595.153,17.306,16.870,5.421
4596.211,16.951,17.123,5.265
4597.270,18.787,17.361,5.215
4598.329,18.163,17.552,5.312
4599.387,16.914,17.761,5.663
4600.447,17.430,17.639,5.493
4601.506,17.413,16.935,4.945
4602.566,15.663,16.404,5.231
4603.626,16.015,16.491,5.416
4604.686,17.430,16.996,5.398
4605.746,16.728,17.431,5.317
4606.807,16.982,17.466,5.078
4607.868,17.996,17.368,5.139
4608.929,18.346,17.844,5.587
4609.990,19.560,19.048,5.912
4611.052,19.472,20.077,5.920
4612.114,20.364,19.567,5.619
4613.176,18.399,18.684,5.287
4614.238,19.561,18.092,5.259
4615.301,17.740,18.277,5.409
4616.364,18.191,18.751,5.454
4617.427,18.264,18.796,5.412
4618.490,19.311,18.685,5.249
4619.553,19.413,18.617,5.072
4620.617,19.245,18.432,5.057
4621.681,19.895,18.690,5.207
4622.746,20.240,19.121,5.295
4623.810,19.911,19.020,5.255
4624.875,18.689,18.635,5.270
4625.940,18.794,18.615,5.353
4627.005,18.287,17.959,5.315
4628.071,18.404,18.109,5.160
4629.137,20.327,19.042,5.030
4630.203,20.188,19.362,5.264
4631.269,20.295,18.991,5.399
4632.335,20.468,19.225,5.206
4633.402,21.497,19.420,5.078
4634.469,18.662,18.878,5.285
4635.536,17.951,18.358,5.262
4636.604,19.609,18.620,4.949
4637.672,17.737,18.488,5.030
4638.740,17.018,17.849,5.219
4639.808,17.610,17.099,5.038
4640.876,16.956,16.712,4.790
4641.945,18.354,17.267,5.110
4643.014,18.333,18.623,5.304
4644.083,18.795,19.257,5.193
4645.153,19.873,18.907,5.116
4646.222,18.044,18.038,5.224
4647.292,15.440,16.344,5.055
4648.363,15.674,15.109,4.394
4649.433,16.289,15.767,4.303
4650.504,16.911,16.987,4.709
4651.575,17.624,17.615,5.060
4652.646,17.398,17.649,5.339
4653.717,18.901,17.601,5.198
4654.789,18.396,17.642,5.100
4655.861,17.531,17.417,5.116
4656.933,17.539,16.699,5.318
4658.006,17.363,17.219,5.894
4659.078,18.336,18.532,6.367
4660.151,20.826,19.865,6.545
4661.224,21.778,20.641,6.349
4662.298,21.087,20.548,6.007
4663.371,20.739,19.653,5.798
4664.445,18.795,18.560,5.875
4665.519,18.080,17.978,6.263
4666.594,17.646,17.713,6.216
4667.668,15.277,16.567,5.701
4668.743,14.749,14.399,5.490
4669.818,13.943,14.023,5.574
4670.894,16.275,16.212,6.361
4671.970,16.184,18.377,6.777
4673.045,18.941,19.176,6.438
4674.122,19.110,18.827,6.143
4675.198,18.581,18.211,6.283
4676.275,18.786,18.018,6.497
4677.351,18.942,18.941,6.660
4678.429,18.957,19.647,6.519
4679.506,18.698,19.074,6.014
4680.584,18.723,17.967,5.596
4681.661,17.189,17.453,5.663
4682.740,17.270,16.931,6.186
4683.818,17.226,16.886,6.113
4684.896,17.820,17.851,5.707
4685.975,18.132,18.575,6.106
4687.054,18.617,18.522,6.016
4688.134,17.216,18.278,5.847
4689.213,18.250,18.352,5.726
4690.293,16.730,18.431,5.605
4691.373,19.133,18.287,5.758
4692.454,18.647,17.944,5.772
4693.534,18.028,17.855,5.691
4694.615,18.560,18.328,5.573
4695.696,18.785,18.829,5.597
4696.778,19.602,19.240,5.717
4697.859,19.264,19.502,5.538
4698.941,17.278,18.724,5.350
4700.023,16.400,17.330,5.290
4701.106,16.513,16.803,5.257
4702.188,17.918,17.376,5.255
4703.271,16.907,16.654,5.109
4704.354,14.178,15.607,4.959
4705.437,16.148,16.009,4.919
4706.521,16.817,17.303,5.136
4707.605,16.806,17.575,5.413
4708.689,18.794,16.736,5.302
4709.773,17.459,16.370,5.136
4710.858,17.670,16.411,5.419
4711.943,17.894,17.259,5.648
4713.028,19.530,18.463,5.719
4714.113,20.617,18.844,5.732
4715.199,17.826,18.029,5.729
4716.285,18.003,17.167,5.580
4717.371,19.383,17.885,5.232
4718.457,19.847,18.799,5.155
4719.544,20.373,19.012,5.660
4720.630,20.372,19.207,5.970
4721.718,22.457,20.035,5.811
4722.805,20.537,19.691,5.464
4723.892,18.785,18.904,5.509
4724.980,19.105,18.660,5.731
4726.068,20.654,19.217,5.692
4727.157,19.062,19.626,5.755
4728.245,18.269,18.278,5.452
4729.334,16.781,16.893,5.257
4730.423,16.465,16.438,5.645
4731.513,16.021,16.665,5.859
4732.602,16.613,17.121,5.702
4733.692,18.307,17.518,5.631
4734.782,18.725,17.703,5.727
4735.872,19.026,17.887,5.774
4736.963,18.825,17.796,5.542
4738.054,16.777,17.115,5.731
4739.145,17.282,16.947,6.277
4740.236,19.165,18.099,6.318
4741.328,18.492,18.421,6.090
4742.420,18.154,17.661,6.110
4743.512,17.980,17.791,6.287
4744.604,18.338,18.362,6.160
4745.697,19.538,18.573,6.153
4746.790,18.410,18.504,6.007
4747.883,19.501,18.756,5.509
4748.976,18.694,18.941,5.484
4750.070,20.219,19.091,5.442
4751.164,22.186,19.172,5.412
4752.258,19.315,18.932,5.661
4753.352,18.683,18.285,5.823
4754.447,17.178,17.735,5.651
4755.542,16.252,17.302,5.447
4756.637,16.956,17.221,5.388
4757.732,16.262,17.457,5.396
4758.828,16.267,17.558,5.364
4759.924,16.705,17.377,5.177
4761.020,17.233,17.709,5.138
4762.116,18.161,17.818,5.033
4763.213,17.731,16.951,5.010
4764.310,16.835,16.283,5.149
4765.407,16.621,16.328,5.206
4766.504,15.484,16.300,5.040
4767.602,16.063,15.617,4.979
4768.700,16.626,15.720,4.990
4769.798,15.538,16.322,5.003
4770.897,17.554,16.954,4.823
4771.995,16.668,17.133,4.908
4773.094,16.499,16.613,5.145
4774.193,16.330,16.012,4.980
4775.293,17.020,16.640,5.127
4776.392,17.610,17.217,5.217
4777.492,16.824,16.943,5.192
4778.593,15.355,16.375,5.441
4779.693,15.580,16.268,5.707
4780.794,16.067,15.992,5.519
4781.895,16.732,15.970,5.495
4782.996,15.662,15.845,5.456
4784.097,14.830,15.256,5.282
4785.199,14.535,14.945,5.156
4786.301,14.793,15.664,5.105
4787.403,16.539,16.185,4.892
4788.506,16.948,16.058,4.842
4789.608,15.978,16.021,4.825
4790.711,16.414,15.969,4.873
4791.815,16.693,16.172,5.160
4792.918,17.277,16.941,5.294
4794.022,18.334,17.379,5.255
4795.126,17.563,17.795,5.310
4796.230,18.824,18.626,5.465
4797.334,19.501,19.026,5.498
4798.439,20.060,18.713,5.373
4799.544,17.712,18.125,5.149
4800.650,18.241,17.336,5.216
4801.755,17.181,17.207,5.241
4802.861,18.805,17.867,5.300
4803.967,19.319,18.715,5.432
4805.073,19.318,19.177,5.439
4806.180,19.761,18.971,5.226
4807.286,18.155,18.222,4.950
4808.393,17.068,17.931,4.928
4809.501,17.133,17.845,4.964
4810.608,18.238,17.954,4.905
4811.716,19.435,18.274,4.989
4812.824,18.972,18.543,5.153
4813.933,18.268,18.413,5.262
4815.041,18.501,18.565,5.476
4816.150,19.413,18.700,5.818
4817.259,19.433,18.821,5.909
4818.368,19.717,19.060,5.868
4819.478,18.737,19.289,6.027
4820.588,19.043,19.109,6.325
4821.698,19.530,19.017,6.552
4822.808,19.206,18.575,6.425
4823.919,17.354,17.511,5.997
4825.030,16.789,16.368,5.786
4826.141,17.522,16.231,5.947
4827.252,17.909,17.468,6.042
4828.364,18.869,18.282,5.897
4829.476,17.156,17.710,5.946
4830.588,17.951,17.155,5.977
4831.700,17.398,17.081,5.628
4832.813,16.896,16.729,5.682
4833.926,16.699,16.514,6.284
4835.039,17.896,17.512,6.393
4836.153,18.741,17.897,6.030
4837.266,18.263,17.831,5.892
4838.380,18.439,17.900,5.923
4839.494,18.194,17.955,5.853
4840.609,17.131,17.489,5.889
4841.724,17.333,17.023,6.207
4842.839,18.023,17.312,5.905
4843.954,17.833,17.389,5.455
4845.069,16.513,17.203,5.493
4846.185,18.410,17.750,5.683
4847.301,17.722,18.760,5.878
4848.417,18.898,19.098,5.908
4849.534,19.039,18.794,5.676
4850.651,19.261,18.889,5.416
4851.768,20.321,19.224,5.315
4852.885,20.160,18.965,5.471
4854.003,19.858,18.894,5.534
4855.120,18.665,18.889,5.298
4856.238,17.948,17.946,5.012
4857.357,18.304,17.285,4.807
4858.475,17.789,17.829,4.710
4859.594,19.190,18.521,4.634
4860.713,17.260,17.060,4.605
4861.833,15.336,14.751,5.000
4862.952,15.252,13.872,5.500
4864.072,15.818,14.983,5.435
4865.192,16.705,16.700,5.034
4866.313,17.084,17.453,4.868
4867.433,17.174,17.971,4.762
4868.554,18.149,18.237,5.013
4869.675,18.225,18.125,5.348
4870.797,16.449,17.761,5.345
4871.918,15.389,16.251,5.116
4873.040,13.434,13.698,4.873
4874.162,12.864,14.222,4.689
4875.285,17.114,16.558,4.728
4876.408,16.770,17.355,5.003
4877.531,16.417,17.312,5.172
4878.654,17.975,17.258,5.280
4879.777,16.876,17.200,5.301
4880.901,18.871,18.267,5.472
4882.025,16.744,18.678,6.209
4883.149,17.117,17.794,6.330
4884.274,17.038,17.508,5.672
4885.399,17.113,17.958,5.453
4886.524,17.051,17.393,5.433
4887.649,16.049,16.153,5.471
4888.774,16.547,16.107,5.297
4889.900,16.092,16.589,5.196
4891.026,14.672,15.884,5.093
4892.153,14.894,13.996,4.995
4893.279,13.766,13.304,5.066
4894.406,15.221,16.113,5.244
4895.533,18.061,18.922,5.426
4896.661,21.034,20.061,5.573
4897.788,21.437,20.266,5.474
4898.916,20.671,20.120,5.274
4900.044,20.183,19.499,5.272
4901.173,18.281,18.896,5.369
4902.301,18.154,19.068,5.485
4903.430,17.368,18.612,5.553
4904.559,17.950,17.546,5.380
4905.689,16.889,17.283,5.269
4906.819,18.660,18.656,5.421
4907.949,20.567,19.638,5.539
4909.079,18.470,19.597,5.481
4910.209,18.281,18.679,5.368
4911.340,16.513,17.745,5.216
4912.471,18.296,17.528,5.333
4913.602,19.235,18.021,5.059
4914.734,17.539,18.348,4.916
4915.866,17.784,18.351,5.287
4916.998,20.496,18.831,5.385
4918.130,19.348,18.913,5.054
4919.263,16.827,17.365,5.020
4920.395,13.573,14.217,4.541
4921.528,11.450,11.805,4.252
4922.662,12.213,12.647,4.702
4923.795,15.464,15.579,5.063
4924.929,16.430,17.482,5.323
4926.063,16.676,17.410,5.469
4927.198,17.944,17.306,5.262
4928.332,20.085,18.848,5.033
4929.467,20.533,19.752,5.033
4930.603,20.880,19.987,5.236
4931.738,20.662,19.924,5.176
4932.874,19.918,19.628,5.188
4934.010,18.162,18.787,5.382
4935.146,17.105,17.307,5.127
4936.282,18.188,17.293,4.789
4937.419,17.206,17.993,4.985
4938.556,16.663,17.699,5.301
4939.693,16.260,16.133,5.104
4940.831,15.351,15.118,4.980
4941.969,16.529,16.740,5.162
4943.107,18.122,18.161,5.337
4944.245,18.249,18.942,5.351
4945.384,19.478,19.469,5.009
4946.523,19.306,19.314,5.076
4947.662,18.198,18.391,5.279
4948.801,18.486,19.194,5.190
4949.941,19.974,20.209,5.331
4951.081,20.659,20.275,5.615
4952.221,20.052,20.089,5.391
4953.361,20.992,20.132,5.357
4954.502,19.264,19.945,5.534
4955.643,19.556,19.261,5.422
4956.784,18.993,18.373,5.228
4957.926,15.598,15.643,4.777
4959.067,12.373,12.861,4.558
4960.209,12.877,13.347,5.001
4961.352,16.517,17.364,5.465
4962.494,19.330,18.699,5.489
4963.637,18.850,18.414,5.523
4964.780,18.812,18.215,5.796
4965.923,17.455,17.995,5.753
4967.067,17.751,17.518,5.483
4968.211,17.778,17.153,5.595
4969.355,17.326,17.019,5.751
4970.499,17.720,17.131,5.824
4971.644,17.901,17.677,5.934
4972.789,19.028,18.420,6.249
4973.934,19.977,19.150,6.622
4975.079,20.586,19.592,6.668
4976.225,20.541,19.122,6.784
4977.371,18.432,18.985,7.034
4978.517,18.300,18.739,7.228
4979.664,18.234,18.030,7.831
4980.810,17.077,17.354,8.049
4981.957,16.082,16.903,8.065
4983.105,15.391,14.901,7.634
4984.252,13.190,13.127,7.629
4985.400,12.657,13.656,7.603
4986.548,14.247,15.071,7.506
4987.696,16.240,16.120,7.687
4988.845,17.046,17.113,7.589
4989.994,17.710,17.681,7.044
4991.143,16.426,16.655,6.958
4992.292,16.060,15.953,6.980
4993.442,16.430,16.413,6.752
4994.592,18.829,17.146,6.571
4995.742,16.412,17.012,6.217
4996.892,18.167,17.011,5.733
4998.043,18.529,17.766,5.718
4999.194,18.041,18.069,5.854
5000.345,17.302,16.964,5.446
5001.497,15.464,15.185,5.220
5002.649,14.880,14.573,5.186
5003.801,15.651,15.440,5.354
5004.953,15.680,16.360,5.261
5006.106,16.950,16.411,5.151
5007.258,14.941,15.107,5.265
5008.411,13.395,13.663,5.406
5009.565,13.843,14.186,5.206
5010.718,16.076,16.135,5.044
5011.872,16.162,16.947,5.190
5013.026,16.478,16.437,5.146
5014.181,14.446,14.945,4.827
5015.336,13.366,13.407,4.789
5016.491,13.653,13.152,4.938
5017.646,14.666,14.378,5.105
5018.801,15.671,15.545,5.067
5019.957,16.097,16.214,4.879
5021.113,17.015,16.778,5.005
5022.269,15.994,16.723,5.007
5023.426,14.355,15.330,4.695
5024.583,14.950,14.652,4.657
5025.740,16.036,16.018,4.784
5026.897,16.708,16.994,4.821
5028.055,16.401,16.602,4.606
5029.213,15.404,15.533,4.643
5030.371,15.152,15.309,4.863
5031.529,15.537,16.925,4.966
5032.688,16.780,17.768,5.116
5033.847,16.350,17.966,4.953
5035.006,18.402,18.017,4.818
5036.166,16.770,17.232,4.836
5037.325,15.350,15.229,4.637
5038.485,15.237,15.060,4.664
5039.646,15.394,15.969,4.479
5040.806,14.913,14.847,4.531
5041.967,11.858,12.686,4.485
5043.128,12.045,12.016,4.277
5044.289,12.676,13.631,4.587
5045.451,14.328,15.274,4.951
5046.613,17.157,16.725,4.826
5047.775,17.356,17.877,4.763
5048.938,17.542,17.956,4.888
5050.100,16.705,16.485,4.577
5051.263,14.272,14.451,4.571
5052.426,14.342,14.463,4.707
5053.590,15.581,15.729,4.620
5054.754,15.757,16.447,4.438
5055.918,16.832,16.493,4.557
5057.082,16.494,16.442,4.791
5058.247,16.327,16.763,4.784
5059.411,16.785,17.688,4.874
5060.577,17.004,17.731,5.097
5061.742,15.321,17.956,5.280
5062.908,16.796,18.045,5.266
5064.073,18.137,17.452,4.986
5065.240,15.406,16.247,4.813
5066.406,14.992,14.533,4.798
5067.573,14.841,14.529,4.682
5068.740,14.389,14.951,4.792
5069.907,14.886,14.964,5.308
5071.075,15.280,15.065,5.698
5072.242,14.714,15.586,5.504
5073.410,15.256,14.700,4.665
5074.579,15.171,14.796,4.502
5075.747,14.742,16.015,4.680
5076.916,15.055,15.967,4.625
5078.085,15.258,14.871,4.951
5079.255,16.667,15.216,4.853
5080.424,14.846,14.839,4.615
5081.594,13.270,13.667,4.964
5082.765,13.101,13.421,5.531
5083.935,12.872,13.527,5.867
5085.106,13.953,13.712,6.050
5086.277,13.954,14.870,6.222
5087.448,14.734,16.124,6.368
5088.620,15.838,16.264,6.083
5089.792,15.267,15.832,5.757
5090.964,15.072,15.627,5.401
5092.136,15.777,15.709,5.115
5093.309,17.103,15.975,4.993
5094.482,17.329,17.422,4.935
5095.655,17.036,17.340,4.795
5096.828,15.435,15.619,4.884
5098.002,15.002,14.872,4.958
5099.176,14.641,15.488,4.978
5100.350,13.851,14.969,5.065
5101.525,13.711,13.645,5.089
5102.700,14.526,13.947,4.987
5103.875,14.688,14.666,4.930
5105.050,13.943,14.946,4.795
5106.226,15.336,14.635,4.726
5107.402,13.779,14.000,4.589
5108.578,13.885,13.870,4.428
5109.754,13.484,14.086,4.470
5110.931,14.299,14.480,4.421
5112.108,13.324,14.655,4.459
5113.285,14.306,14.587,4.835
5114.463,13.524,14.842,5.200
5115.640,14.888,15.802,5.028
5116.818,16.217,16.446,4.922
5117.997,15.992,16.521,4.941
5119.175,17.496,16.550,4.831
5120.354,15.541,16.449,4.700
5121.533,14.403,15.591,4.698
5122.713,14.236,14.827,4.509
5123.892,15.164,14.896,4.331
5125.072,13.651,13.999,4.328
5126.253,11.124,12.998,4.344
5127.433,12.094,13.000,4.598
5128.614,13.963,13.509,4.474
5129.795,12.416,13.795,4.428
5130.976,13.422,13.273,4.696
5132.158,12.440,13.436,4.762
5133.340,14.803,14.800,4.869
5134.522,14.856,15.864,4.905
5135.704,13.740,15.113,5.008
5136.887,13.302,15.265,5.149
5138.070,14.478,15.740,5.255
5139.253,14.287,14.965,4.801
5140.437,12.955,13.572,4.723
5141.620,13.588,13.454,5.017
5142.804,13.764,15.004,4.884
5143.989,15.418,14.627,5.041
5145.173,13.760,14.494,4.946
5146.358,15.154,14.518,4.928
5147.543,13.254,13.896,5.111
5148.729,13.108,13.369,5.149
5149.914,14.102,14.271,5.213
5151.100,14.243,14.347,5.468
5152.286,13.164,13.936,5.626
5153.473,12.963,13.375,5.894
5154.660,12.622,12.566,6.140
5155.847,12.292,12.123,6.168
5157.034,13.350,13.241,5.947
5158.222,15.517,15.289,5.734
5159.410,15.469,16.344,5.328
5160.598,16.038,16.403,5.293
5161.786,16.726,16.579,5.060
5162.975,16.374,16.746,4.802
5164.164,15.049,15.808,4.838
5165.353,14.092,15.158,4.571
5166.542,13.201,14.265,4.320
5167.732,10.643,11.162,4.016
5168.922,7.916,8.120,3.842
5170.113,8.282,8.086,4.138
5171.303,9.278,10.507,4.190
5172.494,9.020,10.654,3.924
5173.685,7.771,7.922,3.670
5174.877,7.542,7.003,3.847
5176.068,8.563,9.093,4.397
5177.260,10.469,12.265,4.777
5178.453,11.771,14.050,4.847
5179.645,12.595,13.950,4.756
5180.838,11.765,13.478,4.524
5182.031,11.837,12.373,4.335
5183.224,9.824,10.341,4.106
5184.418,7.793,7.840,3.659
5185.612,6.573,6.564,3.558
5186.806,8.714,9.038,4.312
5188.000,10.899,12.984,4.985
5189.195,13.668,15.209,5.178
5190.390,14.473,16.026,5.128
5191.585,16.104,16.353,5.056
5192.781,15.123,15.484,4.678
5193.977,12.750,13.094,4.334
5195.173,13.605,13.532,4.579
5196.369,14.666,14.688,4.563
5197.566,15.877,15.575,4.670
5198.763,16.624,16.547,5.242
5199.960,17.515,17.537,5.774
5201.157,17.076,17.573,5.778
5202.355,17.766,17.191,5.522
5203.553,16.837,16.386,5.631
5204.752,14.541,14.842,5.573
5205.950,11.792,12.520,4.970
5207.149,9.804,10.286,4.516
5208.348,8.754,9.811,4.485
5209.547,8.591,9.352,4.579
5210.747,8.769,9.387,4.791
5211.947,10.177,11.164,5.192
5213.147,14.436,14.909,5.335
5214.348,17.581,18.763,5.225
5215.549,18.109,19.535,4.888
5216.750,18.100,18.165,4.541
5217.951,16.997,17.111,4.671
5219.153,17.458,17.569,4.855
5220.355,19.450,19.065,5.119
5221.557,20.336,20.268,5.435
5222.759,20.978,20.787,5.464
5223.962,20.831,20.282,5.496
5225.165,19.284,18.833,5.649
5226.368,16.498,16.996,5.332
5227.572,14.922,15.112,4.594
5228.776,14.014,13.828,4.326
5229.980,14.547,15.592,4.492
5231.184,17.571,18.163,4.727
5232.389,18.446,19.331,4.866
5233.594,17.169,18.251,4.901
5234.799,16.309,16.534,4.758
5236.004,17.278,17.131,4.456
5237.210,18.911,19.339,4.618
5238.416,20.464,20.469,5.111
5239.623,19.856,20.824,5.844
5240.829,20.193,20.817,6.064
5242.036,20.635,20.688,5.502
5243.243,20.593,20.673,5.046
5244.451,19.425,20.501,4.928
5245.658,20.911,21.147,4.967
5246.866,20.702,21.324,4.910
5248.075,19.036,19.976,4.825
5249.283,18.469,18.490,4.842
5250.492,19.106,19.136,4.934
5251.701,19.849,18.948,4.888
5252.910,17.982,18.403,4.891
5254.120,20.298,18.999,4.829
5255.330,19.178,19.463,4.900
5256.540,18.536,19.022,5.447
5257.751,19.218,19.396,5.871
5258.962,21.319,21.152,5.590
5260.173,22.738,21.729,5.380
5261.384,21.271,21.156,5.203
5262.596,19.588,19.505,4.718
5263.808,16.898,17.172,4.358
5265.020,14.483,15.272,4.085
5266.232,13.306,14.149,3.930
5267.445,13.272,13.197,4.039
5268.658,12.802,14.067,4.269
5269.871,13.182,14.129,4.259
5271.085,11.102,11.698,3.998
5272.299,11.549,10.547,4.190
5273.513,14.971,14.976,4.585
5274.727,17.507,17.434,4.571
5275.942,18.023,18.141,4.922
5277.157,18.339,18.457,5.350
5278.372,19.618,19.308,5.505
5279.588,21.544,21.102,5.358
5280.803,22.132,21.998,4.909
5282.019,21.193,20.395,4.929
5283.236,18.767,18.490,4.659
5284.453,16.842,17.313,4.350
5285.669,16.995,17.400,4.601
5286.887,19.312,19.468,4.967
5288.104,20.439,21.859,5.140
5289.322,22.110,22.087,5.135
5290.540,20.479,21.892,5.101
5291.758,22.608,22.046,5.097
5292.977,22.485,22.129,4.946
5294.196,22.976,21.885,5.101
5295.415,21.838,21.847,5.195
5296.634,21.806,21.354,4.983
5297.854,18.489,19.405,4.774
5299.074,16.881,16.648,4.854
5300.294,15.968,15.728,5.148
5301.515,18.300,18.351,5.185
5302.736,19.347,19.176,5.260
5303.957,20.415,19.340,5.293
5305.178,19.995,20.704,5.183
5306.400,21.989,22.222,5.325
5307.622,23.035,22.427,5.279
5308.844,20.975,21.756,5.151
5310.067,21.563,21.555,5.137
5311.290,23.140,22.256,5.011
5312.513,22.526,22.767,5.567
5313.736,24.557,22.630,5.700
5314.960,22.677,22.190,5.480
5316.184,21.717,21.936,5.384
5317.408,21.353,21.686,5.162
5318.633,22.386,21.721,4.883
5319.858,21.873,21.912,5.138
5321.083,21.296,21.619,5.584
5322.308,21.890,21.102,5.546
5323.534,20.735,21.141,5.552
5324.760,19.063,19.594,5.426
5325.986,17.667,18.041,5.349
5327.212,18.367,18.236,5.326
5328.439,16.849,17.224,5.140
5329.666,13.040,13.660,4.519
5330.893,13.389,12.321,4.770
5332.121,16.631,16.981,5.322
5333.349,19.960,19.912,5.325
5334.577,20.570,20.320,5.267
5335.806,20.823,20.863,5.306
5337.034,22.558,21.963,5.137
5338.263,22.756,21.365,5.205
5339.493,21.588,21.465,5.088
5340.722,19.441,20.132,4.977
5341.952,18.365,18.149,4.896
5343.182,17.899,17.748,4.939
5344.413,19.227,19.556,5.475
5345.644,20.171,21.154,5.412
5346.875,20.322,19.970,5.079
5348.106,18.430,19.356,5.092
5349.338,18.938,19.497,5.298
5350.569,19.713,19.202,5.681
5351.802,20.621,19.345,5.767
5353.034,21.989,21.887,5.487
5354.267,21.375,22.220,5.152
5355.500,22.428,21.987,5.198
5356.733,21.903,22.357,5.665
5357.967,22.662,23.105,5.782
5359.200,23.813,23.618,5.607
5360.435,24.254,23.699,5.320
5361.669,23.893,23.404,5.110
5362.904,23.590,22.554,5.093
5364.139,21.874,22.020,4.832
5365.374,21.282,21.483,4.741
5366.610,21.161,20.676,4.731
5367.845,20.131,20.430,4.817
5369.082,21.273,20.771,4.970
5370.318,20.346,20.613,4.862
5371.555,17.527,18.294,4.739
5372.792,15.104,15.348,4.977
5374.029,14.708,15.299,5.020
5375.266,18.744,19.527,5.164
5376.504,20.867,22.188,5.801
5377.742,21.011,22.684,5.829
5378.981,22.760,22.561,5.231
5380.220,22.662,22.725,4.995
5381.459,22.933,23.068,5.218
5382.698,23.569,22.937,5.043
5383.937,23.191,22.052,4.753
5385.177,21.321,20.757,4.787
5386.417,21.651,21.123,5.277
5387.658,22.543,22.528,5.551
5388.898,21.987,23.133,5.505
5390.139,21.110,22.431,5.172
5391.381,20.889,21.504,4.940
5392.622,19.801,21.130,5.174
5393.864,19.569,20.592,5.310
5395.106,19.117,19.926,5.166
5396.349,18.227,19.547,4.935
5397.591,17.807,18.968,4.951
5398.834,17.430,16.832,4.703
5400.078,17.176,17.824,4.741
5401.321,19.384,20.041,4.909
5402.565,20.108,20.987,4.920
5403.809,19.713,20.726,4.830
5405.054,19.804,20.494,4.680
5406.298,16.871,17.254,4.619
5407.543,14.969,15.192,4.598
5408.789,17.117,16.896,4.677
5410.034,19.442,19.047,4.699
5411.280,17.878,18.431,4.792
5412.526,17.642,17.373,4.941
5413.772,19.935,19.788,5.020
5415.019,20.970,21.871,5.259
5416.266,21.522,22.001,5.276
5417.513,21.423,21.571,5.341
5418.761,22.646,22.326,5.405
5420.009,23.634,23.650,5.145
5421.257,22.743,22.480,5.124
5422.505,21.712,21.969,5.264
5423.754,22.031,22.162,5.138
5425.003,22.306,21.831,5.192
5426.253,19.247,20.938,5.255
5427.502,21.368,21.326,5.051
5428.752,22.998,23.417,5.282
5430.002,22.330,21.760,5.028
5431.253,16.995,18.128,4.929
5432.503,17.754,17.438,5.166
5433.754,18.731,19.959,5.183
5435.006,19.446,19.741,5.051
5436.257,16.940,17.883,5.176
5437.509,18.036,18.805,5.161
5438.761,19.779,20.722,5.420
5440.014,20.554,22.134,5.770
5441.267,22.491,23.038,5.443
5442.520,24.667,23.733,5.463
5443.773,23.182,24.107,5.425
5445.027,23.016,23.703,5.157
5446.280,21.305,22.287,5.266
5447.535,18.841,19.349,5.589
5448.789,16.479,16.704,5.570
5450.044,18.349,18.301,5.544
5451.299,20.981,21.477,5.553
5452.554,21.811,22.430,5.501
5453.810,22.080,22.459,5.539
5455.066,21.663,21.923,5.574
5456.322,20.396,19.932,5.215
5457.579,18.001,17.443,5.203
5458.835,20.094,19.730,5.883
5460.092,23.665,22.505,8.867
5461.350,23.873,23.171,17.041
5462.608,22.310,22.404,22.034
5463.865,20.503,21.351,17.161
5465.124,19.509,20.185,10.606
5466.382,21.901,21.003,7.153
5467.641,22.557,22.059,6.439
5468.900,22.381,22.664,6.101
5470.160,23.097,22.858,5.967
5471.419,22.781,22.534,5.947
5472.679,21.113,21.677,5.911
5473.940,22.908,22.035,5.897
5475.200,22.137,21.706,5.685
5476.461,21.907,21.015,5.576
5477.722,19.629,19.801,5.448
5478.984,18.727,18.792,5.638
5480.245,20.385,20.171,5.950
5481.507,21.566,21.838,5.853
5482.770,20.864,21.213,5.890
5484.032,20.492,20.588,6.183
5485.295,21.017,21.427,6.435
5486.558,22.817,22.960,6.184
5487.822,22.440,23.237,5.892
5489.086,21.814,21.685,5.603
5490.350,21.839,21.416,5.626
5491.614,22.340,22.057,5.502
5492.879,22.862,22.937,5.585
5494.144,22.736,23.440,5.431
5495.409,23.164,22.848,4.970
5496.674,22.689,22.469,5.121
5497.940,21.693,22.067,5.443
5499.206,21.391,21.498,5.666
5500.473,22.303,21.848,5.811
5501.739,22.315,22.768,5.644
5503.006,21.350,21.813,5.445
5504.273,21.036,21.481,5.535
5505.541,22.631,22.011,5.836
5506.809,22.165,21.788,5.642
5508.077,21.446,20.773,5.628
5509.345,19.156,20.742,5.698
5510.614,22.981,22.833,5.583
5511.883,22.808,23.039,5.437
5513.152,20.871,21.240,5.569
5514.422,19.185,19.503,5.869
5515.692,22.315,19.300,6.339
5516.962,20.463,20.429,6.029
5518.233,21.508,21.479,5.706
5519.503,22.687,22.575,5.845
5520.774,22.108,23.432,6.105
5522.046,22.997,23.486,6.257
5523.317,23.440,23.570,5.852
5524.589,24.141,24.019,5.610
5525.862,23.994,23.571,5.723
5527.134,23.186,23.458,5.649
5528.407,21.170,22.358,5.573
5529.680,20.299,20.075,5.359
5530.953,20.112,19.627,5.440
5532.227,22.157,22.141,5.715
5533.501,22.545,23.444,5.645
5534.775,21.879,22.811,5.437
5536.050,23.226,22.597,5.473
5537.325,22.552,22.701,5.429
5538.600,22.996,22.712,5.625
5539.875,21.861,22.613,5.448
5541.151,23.964,22.790,5.745
5542.427,23.242,24.144,5.975
5543.704,23.978,23.579,6.468
5544.980,21.080,22.793,6.848
5546.257,22.231,22.847,6.993
5547.534,22.568,23.089,6.601
5548.812,22.977,22.965,5.849
5550.090,23.235,23.887,5.769
