Wavelength,Flux,BestFit,SkyFlux
3971.915,1.258,1.170,2.863
3972.830,2.504,1.675,3.257
3973.745,4.145,2.068,3.437
3974.660,3.924,2.678,3.728
3975.575,3.907,3.437,4.362
3976.491,3.755,3.949,5.120
3977.407,0.917,4.314,5.318
3978.323,5.356,4.932,5.248
3979.239,4.789,5.382,5.047
3980.155,5.027,5.585,4.995
3981.072,6.243,6.201,4.996
3981.988,6.197,6.528,5.154
3982.905,5.787,6.218,5.484
3983.823,5.360,5.903,5.863
3984.740,4.311,5.932,5.940
3985.658,4.562,6.233,6.608
3986.576,4.814,6.402,0.000
3987.494,5.065,6.493,0.000
3988.412,5.316,6.839,0.000
3989.330,5.567,7.370,0.000
3990.249,5.819,7.068,0.000
3991.168,6.070,6.608,0.000
3992.087,6.321,6.710,0.000
3993.006,6.572,7.186,5.367
3993.926,6.616,7.541,5.918
3994.846,8.464,7.462,5.825
3995.766,8.165,7.029,5.270
3996.686,5.897,6.856,4.871
3997.606,7.754,6.736,4.849
3998.527,6.461,6.193,5.202
3999.447,5.270,5.827,5.739
4000.369,6.986,6.603,6.103
4001.290,8.924,7.321,5.910
4002.211,8.933,7.567,5.560
4003.133,8.223,8.006,5.304
4004.055,8.032,8.234,5.591
4004.977,6.657,7.665,5.806
4005.899,4.778,6.403,5.366
4006.822,5.018,5.444,5.032
4007.744,6.497,6.067,5.341
4008.667,6.468,6.942,6.152
4009.590,7.217,7.549,6.652
4010.514,9.215,7.793,6.613
4011.437,8.983,7.740,6.516
4012.361,7.088,8.167,6.718
4013.285,8.542,8.478,7.254
4014.209,8.552,8.298,7.509
4015.134,8.111,8.221,6.923
4016.058,7.515,8.466,6.152
4016.983,7.400,8.482,6.048
4017.908,9.210,8.091,5.950
4018.833,7.901,7.867,6.067
4019.759,7.033,8.076,6.540
4020.685,8.713,8.588,7.208
4021.610,7.254,8.703,7.434
4022.537,6.164,8.076,7.177
4023.463,7.552,8.221,6.801
4024.389,5.753,8.163,6.364
4025.316,8.401,7.858,6.233
4026.243,6.974,7.617,6.480
4027.170,5.637,7.755,6.600
4028.098,8.162,8.323,6.146
4029.025,9.102,8.801,5.829
4029.953,7.073,8.702,5.909
4030.881,6.972,7.465,5.833
4031.809,5.967,5.855,5.419
4032.738,3.928,4.971,5.486
4033.667,2.121,5.017,5.728
4034.596,4.104,4.815,5.553
4035.525,2.905,4.984,5.477
4036.454,4.912,6.267,5.627
4037.383,8.272,7.855,5.773
4038.313,9.449,8.979,5.961
4039.243,10.392,9.617,6.107
4040.173,10.709,9.597,6.339
4041.104,7.016,8.844,6.810
4042.034,6.325,8.361,7.319
4042.965,7.635,8.405,7.609
4043.896,5.586,8.323,7.819
4044.827,7.985,7.258,7.792
4045.759,4.653,5.458,9.521
4046.691,2.855,4.031,13.095
4047.622,4.586,4.032,16.193
4048.555,3.758,5.487,15.307
4049.487,3.395,7.226,11.506
4050.419,8.892,8.080,8.118
4051.352,9.646,8.995,6.909
4052.285,10.178,8.991,6.589
4053.218,9.416,8.890,6.383
4054.152,8.233,8.630,6.404
4055.085,7.306,8.217,6.930
4056.019,6.303,8.075,7.249
4056.953,6.920,7.800,6.735
4057.887,8.382,7.636,5.870
4058.822,7.779,7.190,5.569
4059.757,6.946,7.002,5.865
4060.692,8.524,7.582,6.165
4061.627,8.503,8.391,6.379
4062.562,8.311,7.943,6.510
4063.498,3.781,6.608,6.913
4064.433,4.457,4.991,7.408
4065.369,4.695,4.653,7.350
4066.305,5.030,5.882,7.251
4067.242,6.762,7.002,7.071
4068.178,7.085,6.966,6.749
4069.115,8.018,7.683,6.631
4070.052,9.580,8.416,7.251
4070.990,6.839,8.365,7.231
4071.927,6.245,7.130,6.121
4072.865,6.533,5.399,5.913
4073.803,4.869,5.877,6.506
4074.741,5.313,7.517,6.669
4075.679,8.441,8.331,6.520
4076.618,8.361,7.988,6.939
4077.557,6.453,7.096,7.657
4078.496,8.032,6.364,7.255
4079.435,6.878,6.346,6.362
4080.374,8.675,7.274,6.789
4081.314,8.027,8.673,7.325
4082.254,9.990,9.662,7.797
4083.194,11.013,9.754,7.387
4084.134,8.635,9.229,6.636
4085.075,9.358,8.778,6.267
4086.015,10.786,8.562,6.518
4086.956,9.304,8.869,7.150
4087.898,9.957,9.915,7.561
4088.839,12.267,11.100,7.290
4089.781,12.222,11.417,6.630
4090.722,12.008,11.289,6.174
4091.664,12.298,10.934,5.954
4092.607,8.838,10.423,5.731
4093.549,9.716,9.948,5.648
4094.492,9.642,10.030,5.758
4095.435,9.166,10.551,5.845
4096.378,10.216,9.288,5.668
4097.321,8.819,8.029,5.371
4098.265,6.457,7.960,5.243
4099.208,7.484,8.324,5.412
4100.152,6.910,8.396,5.593
4101.097,8.917,8.205,5.625
4102.041,5.575,7.316,5.396
4102.986,6.583,6.837,4.981
4103.931,8.620,7.470,4.720
4104.876,7.477,8.271,4.666
4105.821,6.272,8.674,4.790
4106.766,7.544,9.205,5.067
4107.712,9.324,9.668,5.470
4108.658,10.823,9.585,5.785
4109.604,9.582,9.248,5.705
4110.551,10.114,9.004,5.531
4111.497,9.108,8.769,5.381
4112.444,6.988,8.370,5.389
4113.391,7.337,8.553,5.417
4114.338,8.992,9.137,5.269
4115.286,9.936,9.438,5.326
4116.233,10.246,9.445,5.692
4117.181,9.363,9.486,5.943
4118.130,7.855,9.580,5.963
4119.078,10.203,9.118,5.502
4120.026,7.541,8.517,5.054
4120.975,9.394,8.455,5.084
4121.924,9.645,8.893,5.210
4122.873,8.467,9.139,5.514
4123.823,8.847,8.788,5.783
4124.772,10.471,9.109,5.916
4125.722,10.949,9.979,5.905
4126.672,10.215,10.065,5.800
4127.623,10.060,9.513,5.752
4128.573,9.614,8.993,5.855
4129.524,8.235,8.683,6.092
4130.475,7.193,8.472,6.391
4131.426,9.394,8.339,6.459
4132.378,6.915,7.669,6.188
4133.329,5.727,6.715,5.616
4134.281,6.993,6.235,5.423
4135.233,8.602,6.744,5.822
4136.185,8.571,7.908,6.398
4137.138,7.476,9.175,6.394
4138.091,8.342,9.379,6.154
4139.044,9.147,9.394,6.581
4139.997,9.898,9.799,6.851
4140.950,8.583,9.853,6.268
4141.904,10.601,9.718,5.651
4142.858,9.010,8.324,5.479
4143.812,5.675,6.264,5.376
4144.766,4.939,4.899,5.322
4145.720,4.980,5.255,5.407
4146.675,5.202,7.038,5.429
4147.630,7.543,8.176,5.266
4148.585,8.319,8.694,5.149
4149.540,7.799,8.748,5.356
4150.496,8.535,8.637,5.368
4151.452,10.812,8.570,5.138
4152.408,9.169,8.558,5.212
4153.364,7.127,8.602,5.615
4154.321,9.101,8.373,5.964
4155.277,9.114,8.100,6.034
4156.234,7.721,8.020,6.116
4157.191,9.064,8.184,6.396
4158.149,8.812,8.448,6.264
4159.106,7.543,8.630,6.007
4160.064,10.685,9.241,6.086
4161.022,8.145,9.548,6.506
4161.980,7.709,9.613,6.930
4162.939,9.549,10.031,6.594
4163.897,11.790,10.815,6.445
4164.856,11.352,10.560,6.830
4165.815,8.661,9.819,7.529
4166.775,8.553,9.184,7.668
4167.734,10.265,8.746,7.423
4168.694,8.054,8.476,7.524
4169.654,8.616,8.515,7.871
4170.614,9.264,8.973,7.566
4171.574,8.533,9.100,7.092
4172.535,8.233,8.418,6.946
4173.496,6.905,7.276,6.690
4174.457,6.562,6.642,6.420
4175.418,7.741,7.201,6.466
4176.380,7.856,7.809,6.781
4177.342,7.056,7.964,6.778
4178.304,8.177,8.180,6.810
4179.266,9.691,8.523,7.136
4180.228,8.179,8.986,6.858
4181.191,9.251,9.498,6.336
4182.154,9.560,8.993,6.090
4183.117,7.850,8.360,5.934
4184.080,7.399,8.313,5.691
4185.044,9.015,8.813,5.707
4186.007,8.801,9.365,6.009
4186.971,8.233,9.307,5.895
4187.936,8.455,8.178,5.357
4188.900,7.430,6.953,4.965
4189.865,7.543,7.619,5.308
4190.830,8.168,8.904,5.900
4191.795,7.699,9.010,5.972
4192.760,7.584,8.449,5.861
4193.725,12.125,9.262,5.838
4194.691,10.903,10.103,6.092
4195.657,9.724,9.755,5.919
4196.623,10.384,8.704,5.279
4197.590,9.388,7.944,4.775
4198.556,7.267,7.617,4.584
4199.523,6.852,6.801,4.596
4200.490,6.870,6.770,4.846
4201.458,6.333,6.996,5.201
4202.425,7.288,6.932,5.081
4203.393,5.916,6.779,4.602
4204.361,7.193,7.258,4.615
4205.329,10.056,8.464,4.822
4206.298,9.520,9.342,5.263
4207.266,9.399,9.731,5.788
4208.235,10.621,10.079,6.158
