element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
3He,1,"=""""","=""""","=""4651.820107763""","=""0.000000015""","=""""","=""""",,"=""[193911.360815791]""","=""[196061.057013912]""","=""1s.5g""","=""1G""","=""4""","=""1s.7h""","=""3H*""","=""5""",,"=""""","=""""",
He,1,"=""""","=""""","=""4652.10161461""","=""0.00000003""","=""""","=""3.002e+02""",AA,"=""[193921.614948739]""","=""[196071.181064965]""","=""1s.5g""","=""3G""","=""4""","=""1s.7f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.11014478""","=""0.00000003""","=""""","=""1.1791e+02""",AAA,"=""[193921.614948739]""","=""[196071.177123492]""","=""1s.5g""","=""3G""","=""4""","=""1s.7f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.11219108""","=""0.00000003""","=""""","=""4.2206e+03""",AAA,"=""[193921.614948739]""","=""[196071.176177974]""","=""1s.5g""","=""3G""","=""4""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.11306199""","=""0.00000003""","=""""","=""7.255e+01""",AA,"=""[193921.620238142]""","=""[196071.181064965]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.11614079""","=""0.00000003""","=""""","=""4.4418e+03""",AAA,"=""[193921.617719262]""","=""[196071.177123492]""","=""1s.5g""","=""3G""","=""5""","=""1s.7f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.11673025""","=""0.00000003""","=""""","=""4.2996e+03""",AAA,"=""[193921.621933101]""","=""[196071.181064965]""","=""1s.5g""","=""1G""","=""4""","=""1s.7f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.11811540""","=""0.00000003""","=""""","=""4.6725e+03""",AAA,"=""[193921.620238142]""","=""[196071.178729980]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.12159220""","=""0.00000003""","=""""","=""3.6054e+00""",AAA,"=""[193921.620238142]""","=""[196071.177123492]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""4652.12363851""","=""0.00000003""","=""""","=""2.1949e+02""",AAA,"=""[193921.620238142]""","=""[196071.176177974]""","=""1s.5g""","=""3G""","=""3""","=""1s.7f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
