element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
V,2,"=""""","=""""","=""3700.5282""","=""0.0016""","=""""","=""6.e-06""",D,"=""106.6421""","=""2808.9590""","=""3d4""","=""a 5D""","=""2""","=""3d3.(4F).4s""","=""a 5F""","=""3""",E2,"=""T9770""","=""""",
Ti,1,"=""3700.681""","=""0.016""","=""3700.680""","=""0.005""","=""20""","=""""",,"=""17423.856""","=""20126.062""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""""","=""L10989""",
Mg,2,"=""""","=""""","=""3701.4""","=""1.0""","=""""","=""1.13e+05""",B+,"=""112197.05""","=""114898.72""","=""2p6.7d""","=""2D""","=""5/2""","=""2p6.9p""","=""2P*""","=""3/2""",,"=""c31""","=""""",
Mg,2,"=""""","=""""","=""3701.6""","=""1.0""","=""""","=""1.26e+04""",B+,"=""112197.17""","=""114898.72""","=""2p6.7d""","=""2D""","=""3/2""","=""2p6.9p""","=""2P*""","=""3/2""",,"=""c31""","=""""",
He,1,"=""""","=""""","=""3701.991280""","=""0.000010""","=""""","=""3.276e+01""",AA,"=""[191217.040967]""","=""[193918.28990114]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3702.003609""","=""0.000010""","=""""","=""9.122e+01""",AA,"=""[191217.049963]""","=""[193918.28990114]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3702.056341""","=""0.000010""","=""""","=""""",,"=""[191206.826777]""","=""[193908.02823862]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""1D""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3702.068680""","=""0.000010""","=""""","=""""",,"=""[191206.835780]""","=""[193908.02823862]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""""","=""""",
Ar,2,"=""3702.8296""","=""0.0005""","=""3702.828""","=""0.003""","=""40""","=""""",,"=""207746.4757""","=""210447.1140""","=""3s2.3p4.(3P).6d""","=""4D""","=""5/2""","=""3s2.3p4.(3P<2>).6f""","=""2[4]*""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""3703.2012""","=""0.0014""","=""3703.1914""","=""0.0004""","=""28bl""","=""""",,"=""186340.5616""","=""189040.9351""","=""3s2.3p4.(3P).4d""","=""4F""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""",,"=""""","=""L11520""",
Cr,2,"=""3703.3867""","=""0.0005""","=""3703.386""","=""0.004""","=""1""","=""""",,"=""107111.7606""","=""109811.992""","=""3d4.(5D).5d""","=""6G""","=""9/2""","=""3d4.(5D).6p""","=""6F*""","=""7/2""",,"=""""","=""L18847""",
Th,1,"=""3703.5222""","=""0.0008""","=""3703.52181""","=""0.00007""","=""31""","=""""",,"=""17354.638583""","=""20054.77119""","=""5f.6d.7s2""","=""3D*""","=""1""","=""6d3.(2F).7s""","=""3F""","=""2""",,"=""""","=""L9974""",
He,1,"=""""","=""""","=""3703.538526""","=""0.000010""","=""""","=""3.5536e+04""",AAA,"=""[191217.040967]""","=""[193917.16138710]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.550865""","=""0.000010""","=""""","=""5.3303e+05""",AAA,"=""[191217.049963]""","=""[193917.16138710]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.551499""","=""0.000010""","=""""","=""3.1979e+05""",AAA,"=""[191217.040967]""","=""[193917.15192855]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.552379""","=""0.000010""","=""""","=""1.2793e+06""",AAA,"=""[191217.040967]""","=""[193917.15128741]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3703.563839""","=""0.000010""","=""""","=""9.5937e+05""",AAA,"=""[191217.049963]""","=""[193917.15192855]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3703.602336""","=""0.000010""","=""""","=""""",,"=""[191206.826777]""","=""[193906.90067630]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3703.614685""","=""0.000010""","=""""","=""""",,"=""[191206.835780]""","=""[193906.90067630]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3703.615308""","=""0.000010""","=""""","=""""",,"=""[191206.826777]""","=""[193906.89121896]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3703.616187""","=""0.000010""","=""""","=""""",,"=""[191206.826777]""","=""[193906.89057812]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3703.627657""","=""0.000010""","=""""","=""""",,"=""[191206.835780]""","=""[193906.89121896]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""""","=""""",
He,1,"=""""","=""""","=""3703.702199""","=""0.000010""","=""""","=""7.1071e+05""",AAA,"=""[191217.160290]""","=""[193917.16138710]""","=""1s.4p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3703.766014""","=""0.000010""","=""""","=""""",,"=""[191206.946100]""","=""[193906.90067630]""","=""1s.4p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",,"=""""","=""""",
Mg,2,"=""""","=""""","=""3704.2""","=""1.0""","=""""","=""1.23e+05""",B+,"=""112197.17""","=""114896.79""","=""2p6.7d""","=""2D""","=""3/2""","=""2p6.9p""","=""2P*""","=""1/2""",,"=""c31""","=""""",
Fe,1,"=""3704.439""","=""0.004""","=""3704.4350""","=""0.0019""","=""195""","=""""",,"=""31937.325""","=""34636.792""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d6.4s2""","=""b 1D2""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""3704.8462""","=""0.0002""","=""3704.8467""","=""0.0007""","=""3.1""","=""""",,"=""105127.773""","=""107826.940""","=""3d6.(5D).5d""","=""4D""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c148""",
Fe,2,"=""3705.0124""","=""0.0009""","=""3705.0114""","=""0.0011""","=""0.31""","=""""",,"=""104873.232""","=""107572.279""","=""3d6.(5D).5d""","=""4D""","=""7/2""","=""3d6.(5D).6p""","=""6F*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""3705.2806""","=""0.0006""","=""3705.2819""","=""0.0010""","=""0.5""","=""""",,"=""103950.602""","=""106649.452""","=""3d6.(5D).5d""","=""6F""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""11/2""",,"=""""","=""L18349c139""",
N,1,"=""""","=""""","=""3705.6""","=""1.0""","=""""","=""1.84e+05""",D+,"=""111501.368""","=""114200.0""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""3/2""",,"=""T5723LS""","=""""",
Fe,1,"=""3705.941""","=""0.004""","=""3705.9410""","=""0.0019""","=""275""","=""""",,"=""48163.446""","=""50861.816""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""3""",,"=""""","=""L11631""",
Ne,2,"=""3706.144""","=""0.007""","=""3706.1451""","=""0.0019""","=""15""","=""""",,"=""312504.5327""","=""315202.7541""","=""2s2.2p4.(3P).5d""","=""2D""","=""5/2""","=""2s2.2p4.(3P).6p""","=""2D*""","=""5/2""",,"=""""","=""L11301""",
Th,2,"=""3706.2954""","=""0.0015""","=""3706.2946""","=""0.0004""","=""1""","=""""",,"=""17460.62698""","=""20158.73957""","=""5f.6d.(3P*).7s""","=""4P*""","=""5/2""","=""6d3""","=""2D2""","=""5/2""",,"=""""","=""L9974""",
Na,1,"=""""","=""""","=""3707.26""","=""0.03""","=""""","=""3.29e+05""",A,"=""37036.752""","=""39734.16""","=""2p6.5d""","=""2D""","=""5/2""","=""2p6.8f""","=""2F*""","=""7/2""",,"=""c30""","=""""",
Na,1,"=""""","=""""","=""3707.26""","=""0.03""","=""""","=""2.20e+04""",B+,"=""37036.752""","=""39734.16""","=""2p6.5d""","=""2D""","=""5/2""","=""2p6.8f""","=""2F*""","=""5/2""",,"=""c30""","=""""",
Na,1,"=""""","=""""","=""3707.29""","=""0.03""","=""""","=""3.07e+05""",A,"=""37036.772""","=""39734.16""","=""2p6.5d""","=""2D""","=""3/2""","=""2p6.8f""","=""2F*""","=""5/2""",,"=""c30""","=""""",
S,1,"=""""","=""""","=""3707.33+""","=""0.19""","=""""","=""1.21e+05""",D,"=""76720.65""","=""79418.01""","=""3s2.3p3.(4S*).6s""","=""3S*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""0""",,"=""T7952""","=""""",
K,1,"=""3708.147""","=""0.010""","=""3708.147""","=""0.010""","=""3""","=""2.885e+06""",AA,"=""24701.382""","=""27398.147""","=""3p6.5p""","=""2P*""","=""1/2""","=""3p6.4d""","=""2D""","=""3/2""",,"=""T9168""","=""L1792""",
C,1,"=""""","=""""","=""3708.7888""","=""0.0004""","=""""","=""1.2e+04""",C,"=""80801.28887""","=""83497.58690""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.4d""","=""1D*""","=""2""",,"=""T6070""","=""""",
Fe,1,"=""3709.12""","=""0.03""","=""3709.1204""","=""0.0019""","=""21900bl""","=""""",,"=""38175.355""","=""40871.412""","=""3d7.(4F).4p""","=""y 3D*""","=""3""","=""3d8""","=""3P""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""3710.521""","=""0.004""","=""3710.5187""","=""0.0014""","=""0.05""","=""""",,"=""104588.729""","=""107283.770""","=""3d6.(5D).5d""","=""6D""","=""3/2""","=""3d6.(5D).6p""","=""6D*""","=""1/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3710.874""","=""0.004""","=""3710.8712""","=""0.0019""","=""468""","=""""",,"=""45595.086""","=""48289.871""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""0""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""1""",,"=""""","=""L11631""",
V,1,"=""3711.071""","=""0.003""","=""3711.065""","=""0.003""","=""62""","=""""",,"=""31371.087""","=""34065.731""","=""3d4.(3F1).4s""","=""4F""","=""7/2""","=""3d3.(4P).4s.4p.(3P*)""","=""w 4D*""","=""5/2""",,"=""""","=""L11697""",
Ar,2,"=""3711.7380""","=""0.0010""","=""3711.7378""","=""0.0019""","=""25""","=""""",,"=""209377.2099""","=""212071.3657""","=""3s2.3p4.(3P).6d""","=""2F""","=""5/2""","=""3s2.3p4.(3P<0>).6f""","=""2[3]*""","=""7/2""",,"=""""","=""L11520""",
Fe,2,"=""3712.0421""","=""0.0013""","=""3712.0407""","=""0.0008""","=""0.2""","=""""",,"=""104120.244""","=""106814.180""","=""3d6.(5D).5d""","=""6P""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""5/2""",,"=""""","=""L18349c139""",
Th,1,"=""3713.0981""","=""0.0012""","=""3713.0981""","=""0.0003""","=""3""","=""""",,"=""23355.37327""","=""26048.54211""","=""6d4""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L9974""",
Fe,1,"=""3713.099""","=""0.004""","=""3713.096""","=""0.003""","=""174""","=""""",,"=""52682.920""","=""55376.090""","=""3d7.(2D2).4p""","=""t 3D*""","=""2""","=""3d7.(4F).4d""","=""e 3P""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""3713.970""","=""0.006""","=""3713.9432""","=""0.0010""","=""0.04""","=""""",,"=""111735.854""","=""114428.410""","=""3d6.(3H).5p""","=""4H*""","=""7/2""","=""3d6.(5D).6d""","=""114428""","=""7/2""",,"=""""","=""L18349c145""",
Ne,2,"=""3713.978""","=""0.003""","=""3713.977""","=""0.003""","=""32""","=""""",,"=""313128.5294""","=""315821.061""","=""2s2.2p4.(3P).5d""","=""4F""","=""3/2""","=""2s2.2p4.(3P).6p""","=""4D*""","=""1/2""",,"=""""","=""L11301""",
Ne,2,"=""3714.1896""","=""0.0018""","=""3714.1901""","=""0.0015""","=""65""","=""""",,"=""312407.6220""","=""315099.9990""","=""2s2.2p4.(3P).5d""","=""4F""","=""9/2""","=""2s2.2p4.(3P).6p""","=""4D*""","=""7/2""",,"=""""","=""L11301""",
Fe,1,"=""3715.896""","=""0.004""","=""3715.896""","=""0.003""","=""145""","=""""",,"=""48289.871""","=""50981.012""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""f 5D""","=""0""",,"=""""","=""L11631""",
Al,2,"=""""","=""""","=""3717.07""","=""0.10""","=""""","=""3.94e+06""",B+,"=""139918.98""","=""142609.27""","=""3s.7p""","=""1P*""","=""1""","=""3s.7d""","=""1D""","=""2""",,"=""T6298c4""","=""""",
N,1,"=""""","=""""","=""3717.2""","=""1.0""","=""""","=""1.83e+05""",D+,"=""111501.368""","=""114191.6""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).6d""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
Fe,2,"=""3717.4055""","=""0.0009""","=""3717.4044""","=""0.0011""","=""0.31""","=""""",,"=""104507.058""","=""107197.107""","=""3d6.(3H).4d""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""7/2""",,"=""""","=""L18349c139""",
Ne,1,"=""3717.674""","=""0.002""","=""3717.6735""","=""0.0020""","=""3""","=""""",,"=""167867.1941""","=""170557.0484""","=""2s2.2p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Cr,2,"=""3718.1975""","=""0.0010""","=""3718.197""","=""0.004""","=""1""","=""""",,"=""107696.2552""","=""110385.731""","=""3d4.(5D).5d""","=""6D""","=""9/2""","=""3d4.(5D).6p""","=""6D*""","=""9/2""",,"=""""","=""L18847""",
Ne,1,"=""3718.2250""","=""0.0004""","=""3718.2252""","=""0.0010""","=""42""","=""1.16e+05""",B,"=""164285.8872""","=""166975.3424""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""T6976""","=""L9097""",
C,1,"=""3718.2906""","=""0.0007""","=""3718.2902""","=""0.0007""","=""13000""","=""2.26e+06""",B,"=""83798.61582""","=""86488.0240""","=""2s2.2p.4d""","=""3F*""","=""4""","=""2s2.2p.(2P*<3/2>).5f""","=""2[9/2]""","=""5""",,"=""T9787""","=""L12175c183""",
Th,1,"=""3718.7618""","=""0.0012""","=""3718.75995""","=""0.00006""","=""3""","=""""",,"=""19948.395175""","=""22637.46361""","=""6d2.7s.7p""","=""5F*""","=""4""","=""5f.7s2.7p""","=""3F""","=""3""",,"=""""","=""L9974""",
Fe,1,"=""3719.695""","=""0.004""","=""3719.6929""","=""0.0020""","=""309""","=""""",,"=""47834.550""","=""50522.944""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3G*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""6""",,"=""""","=""L11631""",
C,1,"=""""","=""""","=""3720.1104""","=""0.0008""","=""""","=""1.0e+04""",C,"=""81344.05485""","=""84032.1471""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.4d""","=""1P*""","=""1""",,"=""T6070""","=""""",
Cr,2,"=""3720.1591""","=""0.0010""","=""3720.160""","=""0.004""","=""1""","=""""",,"=""107006.2503""","=""109694.307""","=""3d4.(5D).5d""","=""6G""","=""7/2""","=""3d4.(5D).6p""","=""6F*""","=""5/2""",,"=""""","=""L18847""",
Fe,2,"=""3720.1995""","=""0.0008""","=""3720.1980""","=""0.0014""","=""0.4""","=""""",,"=""103936.602""","=""106624.631""","=""3d6.(5D).5d""","=""6F""","=""11/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
Al,1,"=""""","=""""","=""3720.868""","=""0.010""","=""""","=""1.84e+04""",C+,"=""42233.742""","=""44921.287""","=""3s2.4d""","=""2D""","=""3/2""","=""3s2.7p""","=""2P*""","=""3/2""",,"=""u36,LS""","=""""",
V,2,"=""""","=""""","=""3721.333""","=""0.006""","=""""","=""3.8e-05""",C+,"=""0.000""","=""2687.2090""","=""3d4""","=""a 5D""","=""0""","=""3d3.(4F).4s""","=""a 5F""","=""2""",E2,"=""T9770""","=""""",
Na,1,"=""""","=""""","=""3721.69""","=""0.04""","=""""","=""4.27e+04""",B+,"=""37296.32""","=""39983.27""","=""2p6.6p""","=""2P*""","=""1/2""","=""2p6.10s""","=""2S""","=""1/2""",,"=""c30""","=""""",
Xe,1,"=""3721.88""","=""0.40""","=""3721.89+""","=""0.14""","=""1*""","=""""",,"=""94168.86""","=""96855.664""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).13d""","=""2[5/2]*""","=""2""",,"=""""","=""L1975""",
Xe,1,"=""3721.88""","=""0.40""","=""3721.908+""","=""0.020""","=""1*""","=""""",,"=""89534.568""","=""92221.362""","=""5p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",,"=""""","=""L1975""",
Th,1,"=""3722.1317""","=""0.0012""","=""3722.13094""","=""0.00021""","=""3""","=""""",,"=""24880.22058""","=""27566.85363""","=""""","=""*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L9974""",
C,1,"=""3722.29214""","=""0.00014""","=""3722.29218""","=""0.00011""","=""55000""","=""1.96e+06""",B,"=""78148.10824""","=""80834.62491""","=""2s2.2p.4s""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""3""",,"=""T6070n""","=""L12175c183""",
C,1,"=""3722.9737""","=""0.0007""","=""3722.9752""","=""0.0004""","=""11000""","=""1.36e+06""",B,"=""81105.06418""","=""83791.0880""","=""2s2.2p.4p""","=""3S""","=""1""","=""2s2.2p.5s""","=""3P*""","=""2""",,"=""T6070n""","=""L12175c183""",
Al,1,"=""3723.08""","=""0.10""","=""3723.114""","=""0.010""","=""10d""","=""1.84e+05""",C+,"=""42233.742""","=""44919.666""","=""3s2.4d""","=""2D""","=""3/2""","=""3s2.7p""","=""2P*""","=""1/2""",,"=""u36,LS""","=""L6693""",
Na,1,"=""""","=""""","=""3723.48""","=""0.04""","=""""","=""8.49e+04""",B+,"=""37297.61""","=""39983.27""","=""2p6.6p""","=""2P*""","=""3/2""","=""2p6.10s""","=""2S""","=""1/2""",,"=""c30""","=""""",
S,1,"=""""","=""""","=""3724.88+""","=""0.20""","=""""","=""1.29e+05""",D,"=""76720.65""","=""79405.30""","=""3s2.3p3.(4S*).6s""","=""3S*""","=""1""","=""3s2.3p3.(2D*).4p""","=""3P""","=""1""",,"=""T7952""","=""""",
C,1,"=""3725.06696""","=""0.00014""","=""3725.06695""","=""0.00012""","=""31000""","=""1.53e+06""",B,"=""78116.77336""","=""80801.28887""","=""2s2.2p.4s""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""2""",,"=""T6070n""","=""L12175c183""",
Cr,2,"=""3725.1533""","=""0.0012""","=""3725.156""","=""0.004""","=""1""","=""""",,"=""107701.2794""","=""110385.731""","=""3d4.(5D).5d""","=""6F""","=""11/2""","=""3d4.(5D).6p""","=""6D*""","=""9/2""",,"=""""","=""L18847""",
Zn,1,"=""3725.36""","=""0.03""","=""3725.38""","=""0.03""","=""33*""","=""""",,"=""71369.240""","=""74053.531""","=""3d10.4s.5g""","=""3G""","=""5""","=""3d10.4s.8h""","=""(1/2,11/2)*""","=""6""",,"=""""","=""L18676""",
Zn,1,"=""3725.36""","=""0.03""","=""3725.38""","=""0.03""","=""33*""","=""""",,"=""71369.240""","=""74053.531""","=""3d10.4s.5g""","=""3G""","=""4""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""5""",,"=""""","=""L18676""",
Zn,1,"=""3725.36""","=""0.03""","=""3725.38""","=""0.03""","=""33*""","=""""",,"=""71369.240""","=""74053.531""","=""3d10.4s.5g""","=""1G""","=""4""","=""3d10.4s.8h""","=""(1/2,11/2)*""","=""5""",,"=""""","=""L18676""",
Zn,1,"=""3725.36""","=""0.03""","=""3725.38""","=""0.03""","=""33*""","=""""",,"=""71369.240""","=""74053.531""","=""3d10.4s.5g""","=""3G""","=""3""","=""3d10.4s.8h""","=""(1/2,9/2)*""","=""4""",,"=""""","=""L18676""",
Th,1,"=""3725.4564""","=""0.0011""","=""3725.45613""","=""0.00012""","=""7""","=""""",,"=""14481.86965""","=""17166.10472""","=""5f.6d.7s2""","=""3H*""","=""6""","=""6d3.(2H).7s""","=""3H""","=""5""",,"=""""","=""L9974""",
C,3,"=""""","=""""","=""3725.99""","=""0.10""","=""""","=""7.51e+04""",B,"=""319720.35""","=""322404.20""","=""1s2.2p.(2P*).3p""","=""1P""","=""1""","=""1s2.2s.4p""","=""1P*""","=""1""",,"=""T5633""","=""""",
Al,1,"=""3726.46""","=""0.10""","=""3726.471""","=""0.010""","=""10d""","=""1.65e+05""",B,"=""42237.783""","=""44921.287""","=""3s2.4d""","=""2D""","=""5/2""","=""3s2.7p""","=""2P*""","=""3/2""",,"=""u36,LS""","=""L6693""",
Xe,1,"=""3726.48""","=""0.40""","=""3726.536+""","=""0.020""","=""2""","=""""",,"=""88469.213""","=""91152.670""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L1975""",
He,1,"=""""","=""""","=""3727.0177931""","=""0.0000014""","=""""","=""2.8583e+04""",AAA,"=""[193918.28990114]""","=""[196601.4002470]""","=""1s.5d""","=""1D""","=""2""","=""1s.8p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
V,1,"=""3727.105""","=""0.003""","=""3727.096""","=""0.007""","=""69""","=""1.8e+05""",C,"=""43410.983""","=""46094.037""","=""3d4.(5D).5p""","=""q 4D*""","=""5/2""","=""3d4.(5D).6s""","=""4D""","=""5/2""",,"=""u38""","=""L11697""",
3He,1,"=""""","=""""","=""3727.1730483""","=""0.0000014""","=""""","=""""",,"=""[193908.02823862]""","=""[196591.0268197]""","=""1s.5d""","=""1D""","=""2""","=""1s.8p""","=""1P*""","=""1""",,"=""""","=""""",
Fe,2,"=""3728.032""","=""0.003""","=""3728.0340""","=""0.0013""","=""0.13""","=""""",,"=""106846.649""","=""109529.028""","=""3d6.(5D).5d""","=""4F""","=""3/2""","=""3d6.(3P2).5p""","=""4P*""","=""1/2""",,"=""""","=""L18349c139""",
Ne,2,"=""3728.040""","=""0.003""","=""""","=""""","=""42""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L11301""",
Fe,2,"=""3728.1913""","=""0.0017""","=""3728.1924""","=""0.0007""","=""0.17""","=""""",,"=""104481.606""","=""107163.871""","=""3d6.(3H).4d""","=""2F""","=""7/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
Cr,2,"=""3728.8530""","=""0.0015""","=""3728.855""","=""0.004""","=""1""","=""""",,"=""106929.3776""","=""109611.166""","=""3d4.(5D).5d""","=""6G""","=""5/2""","=""3d4.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18847""",
Si,1,"=""""","=""""","=""3729.021""","=""0.020""","=""""","=""4.01e+05""",C,"=""57328.789""","=""60010.458""","=""3s2.3p.5p""","=""3P""","=""1""","=""3s2.3p.nd""","=""a 3P*""","=""1""",,"=""T6066LS""","=""""",
Ti,1,"=""3729.513""","=""0.017""","=""3729.515""","=""0.008""","=""7""","=""""",,"=""42530.2894""","=""45211.603""","=""3d2.4s.(4F).4d""","=""3H""","=""6""","=""3d3.(4F).5p""","=""3G*""","=""5""",,"=""""","=""L10989""",
B,1,"=""""","=""""","=""3730.33""","=""0.21""","=""""","=""1.29e+04""",C,"=""62516.5592""","=""65197.29""","=""2s2.5f""","=""2F*""","=""5/2""","=""2s2.8d""","=""2D""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""3730.33""","=""0.21""","=""""","=""1.22e+04""",C,"=""62516.5592""","=""65197.29""","=""2s2.5f""","=""2F*""","=""7/2""","=""2s2.8d""","=""2D""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""3730.33""","=""0.21""","=""""","=""6.1e+02""",C,"=""62516.5592""","=""65197.29""","=""2s2.5f""","=""2F*""","=""5/2""","=""2s2.8d""","=""2D""","=""5/2""",,"=""u27""","=""""",
Th,1,"=""3730.7032""","=""0.0006""","=""3730.70214""","=""0.00004""","=""61""","=""""",,"=""5563.141519""","=""8243.602091""","=""6d3.(4F).7s""","=""5F""","=""1""","=""5f.6d.7s2""","=""3F*""","=""2""",,"=""""","=""L14361""",
He,1,"=""""","=""""","=""3730.862836""","=""0.000014""","=""""","=""3.3712e+04""",AAA,"=""[193346.991344]""","=""[196027.3364649]""","=""1s.5s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3730.890430""","=""0.000014""","=""""","=""3.3712e+04""",AAA,"=""[193346.991344]""","=""[196027.3166408]""","=""1s.5s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""3730.892677""","=""0.000014""","=""""","=""3.3712e+04""",AAA,"=""[193346.991344]""","=""[196027.3150267]""","=""1s.5s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""3731.053857""","=""0.000014""","=""""","=""""",,"=""[193336.759603]""","=""[196016.9674972]""","=""1s.5s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3731.081451""","=""0.000014""","=""""","=""""",,"=""[193336.759603]""","=""[196016.9476745]""","=""1s.5s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",,"=""""","=""""",
3He,1,"=""""","=""""","=""3731.083700""","=""0.000014""","=""""","=""""",,"=""[193336.759603]""","=""[196016.9460594]""","=""1s.5s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",,"=""""","=""""",
Th,1,"=""3732.3521""","=""0.0011""","=""3732.35230""","=""0.00008""","=""7""","=""""",,"=""20522.71449""","=""23201.98997""","=""6d2.7s.7p""","=""3F*""","=""2""","=""5f.6d.7s.7p""","=""5G""","=""3""",,"=""""","=""L9974""",
